序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
1|600519|贵州茅台|45|35.0|10.0|0.0|0.0|0.0|68.857460146187|72.873088888889|77.130045454545|82.175604651163
2|605499|东鹏饮料|42|29.0|13.0|0.0|0.0|0.0|6.397357089996|8.736380952381|11.094214285714|13.563073170732
3|000858|五粮液|41|30.0|11.0|0.0|0.0|0.0|8.206179627863|6.963170731707|7.18487804878|7.69775
4|600809|山西汾酒|41|33.0|8.0|0.0|0.0|0.0|10.035445386832|9.995951219512|10.620951219512|11.586325
5|002891|中宠股份|39|25.0|14.0|0.0|0.0|0.0|1.293795250039|1.518075|1.902425|2.397717948718
6|600600|青岛啤酒|38|26.0|11.0|1.0|0.0|0.0|3.18501641819|3.440526315789|3.682368421053|3.918108108108
7|300750|宁德时代|37|30.0|7.0|0.0|0.0|0.0|11.119421682198|14.95072972973|18.720891891892|22.568611111111
8|300760|迈瑞医疗|37|29.0|8.0|0.0|0.0|0.0|9.623959740853|8.803918918919|10.055378378378|11.597916666667
9|603288|海天味业|36|23.0|13.0|0.0|0.0|0.0|1.084127777183|1.207055555556|1.339138888889|1.468257142857
10|603605|珀莱雅|36|26.0|10.0|0.0|0.0|0.0|3.919418601453|4.257833333333|4.814277777778|5.407114285714
11|000568|泸州老窖|36|27.0|8.0|1.0|0.0|0.0|9.153204959624|8.185055555556|8.531194444444|9.279257142857
12|002594|比亚迪|36|28.0|8.0|0.0|0.0|0.0|4.415210453981|4.24625|5.496694444444|6.710794117647
13|603986|兆易创新|35|23.0|12.0|0.0|0.0|0.0|1.650885487916|2.408628571429|3.343514285714|4.247057142857
14|600426|华鲁恒升|34|27.0|7.0|0.0|0.0|0.0|1.838054139188|1.673088235294|2.053794117647|2.362454545455
15|600887|伊利股份|34|25.0|9.0|0.0|0.0|0.0|1.336344350652|1.776911764706|1.929088235294|2.076575757576
16|600690|海尔智家|34|27.0|7.0|0.0|0.0|0.0|1.998202239697|2.274147058824|2.536823529412|2.802515151515
17|600309|万华化学|33|29.0|4.0|0.0|0.0|0.0|4.163291724031|4.147545454545|5.216424242424|6.1248125
18|603369|今世缘|33|25.0|8.0|0.0|0.0|0.0|2.736545690855|2.239454545455|2.374484848485|2.61990625
19|300979|华利集团|33|26.0|7.0|0.0|0.0|0.0|3.290770383779|2.90803125|3.44096875|4.024322580645
20|002847|盐津铺子|33|29.0|4.0|0.0|0.0|0.0|2.346619600693|2.982666666667|3.643363636364|4.35553125
21|002345|潮宏基|33|25.0|8.0|0.0|0.0|0.0|0.217947706954|0.531454545455|0.719666666667|0.86615625
22|688111|金山办公|32|25.0|7.0|0.0|0.0|0.0|3.551714279723|4.07203030303|4.866212121212|5.935625
23|600989|宝丰能源|31|25.0|6.0|0.0|0.0|0.0|0.864225445312|1.657903225806|1.847935483871|2.0236
24|000333|美的集团|31|24.0|7.0|0.0|0.0|0.0|5.010764057358|5.822677419355|6.366225806452|6.948032258065
25|603345|安井食品|31|23.0|8.0|0.0|0.0|0.0|4.45508716161|4.266129032258|4.748387096774|5.233
26|601689|拓普集团|30|24.0|6.0|0.0|0.0|0.0|1.726633990449|1.7241|2.1444|2.644172413793
27|688271|联影医疗|30|18.0|11.0|1.0|0.0|0.0|1.531101402453|2.33|2.906896551724|3.599642857143
28|002517|恺英网络|30|23.0|7.0|0.0|0.0|0.0|0.762234885596|1.012333333333|1.213666666667|1.378620689655
29|601138|工业富联|30|22.0|8.0|0.0|0.0|0.0|1.169113412185|1.710392857143|2.795642857143|3.439333333333
30|600298|安琪酵母|30|25.0|5.0|0.0|0.0|0.0|1.525898520124|1.818566666667|2.1513|2.468103448276
31|002371|北方华创|30|22.0|8.0|0.0|0.0|0.0|7.758972602138|10.16275862069|13.316724137931|16.771724137931
32|601633|长城汽车|30|20.0|10.0|0.0|0.0|0.0|1.483102826822|1.573666666667|1.966666666667|2.323103448276
33|000729|燕京啤酒|30|18.0|12.0|0.0|0.0|0.0|0.374548094442|0.548333333333|0.658666666667|0.752413793103
34|603606|东方电缆|29|20.0|9.0|0.0|0.0|0.0|1.465951330987|2.238571428571|3.045857142857|3.678259259259
35|002050|三花智控|29|20.0|9.0|0.0|0.0|0.0|0.736491175156|0.969310344828|1.139172413793|1.351814814815
36|002463|沪电股份|29|24.0|5.0|0.0|0.0|0.0|1.344463581467|1.997931034483|2.784137931034|3.549285714286
37|002557|洽洽食品|29|20.0|9.0|0.0|0.0|0.0|1.679296402031|0.8155|1.372033333333|1.630103448276
38|300274|阳光电源|29|23.0|6.0|0.0|0.0|0.0|5.323277111828|7.118586206897|8.382517241379|9.520482758621
39|603198|迎驾贡酒|29|19.0|10.0|0.0|0.0|0.0|3.23658768845|2.568206896552|2.765586206897|3.075357142857
40|688041|海光信息|29|22.0|7.0|0.0|0.0|0.0|0.830770066535|1.345862068966|1.996551724138|2.802413793103
41|601128|常熟银行|29|20.0|9.0|0.0|0.0|0.0|1.149777469115|1.318214285714|1.472857142857|1.644074074074
42|600132|重庆啤酒|29|15.0|14.0|0.0|0.0|0.0|2.303015237655|2.457931034483|2.576785714286|2.705555555556
43|600160|巨化股份|29|21.0|8.0|0.0|0.0|0.0|0.725821909338|1.668965517241|2.105172413793|2.470357142857
44|603444|吉比特|28|20.0|8.0|0.0|0.0|0.0|13.116398056298|22.505185185185|25.994074074074|28.830384615385
45|688169|石头科技|28|20.0|8.0|0.0|0.0|0.0|7.628385401165|6.836571428571|9.493785714286|12.140740740741
46|601233|桐昆股份|28|20.0|8.0|0.0|0.0|0.0|0.499797790531|0.872178571429|1.236642857143|1.535148148148
47|002304|洋河股份|28|17.0|9.0|2.0|0.0|0.0|4.429891747995|2.606620689655|2.922793103448|3.233464285714
48|301498|乖宝宠物|28|16.0|12.0|0.0|0.0|0.0|1.559959590618|1.801833333333|2.291733333333|2.870551724138
49|688012|中微公司|28|20.0|8.0|0.0|0.0|0.0|2.580352721241|3.497535714286|5.049928571429|6.725392857143
50|689009|九号公司|28|19.0|9.0|0.0|0.0|0.0|1.510775032457|19.780642857143|26.365107142857|35.215185185185
51|002568|百润股份|28|15.0|13.0|0.0|0.0|0.0|0.68584557377|0.690344827586|0.795896551724|0.91525
52|600276|恒瑞医药|28|25.0|3.0|0.0|0.0|0.0|0.954698839125|1.313571428571|1.502107142857|1.749592592593
53|000596|古井贡酒|28|20.0|8.0|0.0|0.0|0.0|10.437478382709|8.968464285714|9.594107142857|10.742814814815
54|603486|科沃斯|28|21.0|7.0|0.0|0.0|0.0|1.391914167506|3.474285714286|4.086428571429|4.691851851852
55|600486|扬农化工|28|22.0|5.0|1.0|0.0|0.0|2.965177203621|3.291214285714|3.949785714286|4.529333333333
56|600315|上海家化|27|16.0|11.0|0.0|0.0|0.0|-1.239304262236|0.589074074074|0.74237037037|0.897115384615
57|300308|中际旭创|27|22.0|5.0|0.0|0.0|0.0|4.654307115276|9.310769230769|17.373884615385|22.70436
58|002126|银轮股份|27|20.0|7.0|0.0|0.0|0.0|0.928732092694|1.182|1.525518518519|1.903153846154
59|603193|润本股份|27|16.0|11.0|0.0|0.0|0.0|0.741885092125|0.791071428571|0.9625|1.162962962963
60|003006|百亚股份|27|19.0|8.0|0.0|0.0|0.0|0.669551827556|0.783392857143|1.0385|1.336037037037
61|002714|牧原股份|27|20.0|7.0|0.0|0.0|0.0|3.27329488592|3.420185185185|4.103148148148|5.353592592593
62|002372|伟星新材|27|17.0|10.0|0.0|0.0|0.0|0.598397566227|0.547777777778|0.617407407407|0.684615384615
63|601100|恒立液压|27|17.0|10.0|0.0|0.0|0.0|1.871022871784|2.121851851852|2.481962962963|2.927115384615
64|600176|中国巨石|27|17.0|10.0|0.0|0.0|0.0|0.610724400578|0.86562962963|1.023407407407|1.178307692308
65|300413|芒果超媒|27|18.0|9.0|0.0|0.0|0.0|0.72931682978|0.753703703704|0.952592592593|1.115769230769
66|003000|劲仔食品|27|24.0|3.0|0.0|0.0|0.0|0.646107932017|0.556107142857|0.68475|0.806392857143
67|603983|丸美生物|26|12.0|14.0|0.0|0.0|0.0|0.851941914539|1.007692307692|1.265384615385|1.5592
68|601127|赛力斯|26|23.0|3.0|0.0|0.0|0.0|3.413315883475|5.659222222222|7.665296296296|9.323037037037
69|000425|徐工机械|26|20.0|6.0|0.0|0.0|0.0|0.508477182403|0.646423076923|0.818230769231|1.00956
70|600060|海信视像|26|15.0|11.0|0.0|0.0|0.0|1.721275909357|1.947692307692|2.186230769231|2.43184
71|300633|开立医疗|26|14.0|12.0|0.0|0.0|0.0|0.329080873219|0.607037037037|0.919259259259|1.200384615385
72|601058|赛轮轮胎|26|20.0|6.0|0.0|0.0|0.0|1.235568773057|1.240769230769|1.487846153846|1.75436
73|603919|金徽酒|26|12.0|14.0|0.0|0.0|0.0|0.76518647391|0.745769230769|0.813461538462|0.9164
